What is your sex?,What is your year?,What is your course?,What was your GWA in the previous semester at PLM?,What was your Senior High School strand?,What was your first choice upon applying to PLM?2,What was your second choice upon applying to PLM?3,What was your third choice upon applying to PLM?2,I do important decisions on my own,I considered the background of the school in choosing a particular course,I consider the  number of potential job opportunities as an important factor       ,I consider the level of salary offered by potential job opportunities as an important factor,Who decided for you to choose your course?, I find my skills aligned with my current course, I find my  interests aligned with my current course       ,I find my hobbies aligned with my current course,Who inspire or motivated in your choice of course?,I am having the best college experience       ,I find the class size affecting my interest in the course,I find the   class size stimulating in my learning experience,I am in a  group of friends in my current course who shares the same interests with me       2,I can easily get affected/influenced by my friends’ decision       3,How many are you in your section/block?, I find my expectations match with my current course’s curriculum content       , I like my current course       ,                  I can easily learn lessons from the   subjects that I am taking right now              , I feel like the subjects offered in my current course is lacking       ,I had trouble  choosing my course upon applying in PLM       ,I find my  entire educational experience at this course excellent       ,I am satisfied with the set of instructors in my current course       ,I consider my college offering an effective academic advising       , I worry that I am not good/performing   enough for my subjects       ,I experienced  an effective course advising in high school,"If you could start over again, would you choose the same course you are attending now?","If you will be given a chance to shift to a different course, would you grab the opportunity?"
Male,Second Year,BSCS,1.00-1.50,TVL,BSCS,BSIT,BSPsy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Professionals,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,31-50,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Yes,No
Female,Second Year,BS_ENTRE,1.00-1.50,BAM,BSBA_MM,BS_ENTRE,BSA,Strongly Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Others,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Yes,No
Male,Second Year,BSCpE,1.51-2.00,STEM,BSCE,BSCpE,BSECE,Strongly Agree,Agree,Agree,Agree,Myself,Agree,Strongly Agree,Strongly Agree,Professionals,Agree,Disagree,Agree,Strongly Agree,Disagree,31-50,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Yes,No
Female,Third Year,BSCE,1.51-2.00,STEM,BSCE,BSCHE,BSBio,Agree,Strongly Disagree,Agree,Disagree,Myself,Agree,Disagree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,No,Yes
Male,Third Year,BSIT,1.00-1.50,STEM,BSIT,BSBA_HRM,BS_Arch,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,N/A,Disagree,Agree,Agree,Agree,31-50,Agree,N/A,N/A,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,No,Yes
Male,Third Year,BSA,1.00-1.50,BAM,BSA,BSBA_FM,BSBA_MM,Strongly Agree,Disagree,Agree,Agree,Myself,Strongly Agree,Strongly Agree,Agree,Professionals,Agree,Disagree,Strongly Agree,Agree,Agree,31-50,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Yes,No
Female,Second Year,BSCHE,1.00-1.50,STEM,BSCHE,BSPT,BSIT,Disagree,Disagree,Disagree,Agree,Myself,Strongly Disagree,Agree,Disagree,Professionals,Disagree,Agree,Disagree,Agree,Agree,31-50,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,No,Yes
Male,Third Year,BSIT,1.00-1.50,STEM,BSIT,BSCS,BSCpE,Agree,Disagree,Strongly Agree,Strongly Agree,Teachers,Agree,Agree,Strongly Agree,Socioeconomic ,Agree,Strongly Disagree,Agree,Agree,Agree,31-50,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Yes,No
Male,Third Year,BSIT,1.51-2.00,STEM,BSIT,BSCpE,BSCS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Strongly Disagree,Professionals,Disagree,Agree,Agree,Agree,Disagree,31-50,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Yes,No
Male,Third Year,BSCE,1.51-2.00,STEM,BSCE,BSCpE,BSECE,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Agree,Strongly Agree,Agree,Professionals,Agree,Agree,Agree,Agree,Strongly Disagree,31-50,Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Yes,No
Male,Second Year,BSEE,1.00-1.50,STEM,BSEE,BSME,BSCpE,Strongly Agree,Agree,Agree,Agree,Myself,Agree,Agree,Disagree,Others,Agree,Disagree,Agree,Strongly Agree,Disagree,31-50,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Yes,No
Male,Second Year,BSEE,1.00-1.50,STEM,BSEE,BSME,BSCpE,Strongly Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Others,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Yes,No
Male,Third Year,BSIT,1.51-2.00,STEM,BSPsy,BSIT,BSBio,Agree,Strongly Agree,Disagree,Agree,Myself,Strongly Disagree,Strongly Disagree,Strongly Disagree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,31-50,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,No,Yes
Male,Second Year,BSIT,1.00-1.50,BAM,BSIT,BSCS,BSBA_FM,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,N/A,Strongly Disagree,Strongly Disagree,Agree,Agree,31-50,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Yes,No
Female,Second Year,BSA,1.51-2.00,STEM,BSA,BSBA_FM,BSBA_OM,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Disagree,Agree,Agree,Disagree,31-50,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Yes,No
Female,Second Year,BSCE,1.51-2.00,STEM,BSCE,BSPsy,BSN,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family ,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,31-50,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Yes,No
Female,Third Year,BSIT,1.00-1.50,STEM,BSPsy,BSIT,BSCS,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Socioeconomic ,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,31-50,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,No,Yes
Male,Third Year,BSCE,1.00-1.50,TVL,BS_Arch,BSME,BSA,Agree,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Disagree,Disagree,Agree,Agree,31-50,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Yes,No
Female,Second Year,BSIT,1.00-1.50,STEM,BSN,BSPsy,BSBio,Disagree,Strongly Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Strongly Disagree,Strongly Disagree,Strongly Disagree,Friends and/or boyfriend/girlfriend,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,31-50,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,No,Yes
Male,Third Year,BSCE,1.51-2.00,STEM,BSCE,BSME,BSCpE,Strongly Agree,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Agree,Strongly Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Yes,No
Male,Second Year,BSCE,1.51-2.00,STEM,BSCE,BSME,BSEE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Strongly Disagree,Strongly Disagree,Strongly Disagree,Friends and/or boyfriend/girlfriend,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,31-50,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Yes,No
Male,Second Year,BSCE,1.51-2.00,SA,BSME,BSCpE,BSIT,Agree,Disagree,Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Strongly Disagree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Disagree,Disagree,Agree,Agree,31-50,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,No,Yes
Female,Third Year,BSCE,1.51-2.00,STEM,BSCE,BSEE,BSME,Disagree,Agree,Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Disagree,Agree,31-50,Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Yes,No
Female,Third Year,BSA,1.00-1.50,BAM,BSA,BSPsy,BAC,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,31-50,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,No,Yes
Female,Third Year,BSBA_HRM,1.51-2.00,HESS,BSPsy,BSBA_HRM,BAC,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,31-50,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,No,Yes
Female,Third Year,BSIT,1.00-1.50,TVL,BSIT,BAC,BPA,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Strongly Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,No,Yes
Female,Third Year,BSBA_FM,1.00-1.50,HESS,BSPsy,BSBA_FM,BS_Arch,Strongly Agree,Agree,Agree,Agree,Myself,Disagree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,N/A,Agree,Disagree,Agree,Agree,31-50,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,No,Yes
Female,Third Year,BSCHE,1.51-2.00,STEM,BSCHE,BSChem,BS_Arch,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Disagree,Agree,Friends and/or boyfriend/girlfriend,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,31-50,Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,No,No
Male,Second Year,BSCE,1.00-1.50,STEM,BSCE,BSCS,BS_Arch,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,31-50,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Yes,No
Female,Second Year,BSCE,1.00-1.50,STEM,BSCE,BSME,BS_Arch,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Yes,No
Female,Second Year,BSCS,1.00-1.50,TVL,BSIT,BSCS,BS_Arch,Agree,Disagree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,31-50,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,No,No
Female,Second Year,BSCS,1.00-1.50,STEM,BSCS,BSIT,BSBio,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Disagree,Disagree,31-50,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Yes,No
Female,Third Year,BSBA_FM,1.51-2.00,BAM,BSBA_FM,BSHM,BSA,Agree,Agree,Strongly Agree,Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Yes,Yes
Male,Third Year,BSBA_HRM,1.51-2.00,BAM,BSPT,BSBA_HRM,BSA,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,31-50,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Yes,No
Female,Third Year,BSHM,1.00-1.50,BAM,BSHM,BSBA_MM,BSA,Strongly Agree,Strongly Disagree,Agree,Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Disagree,31-50,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Yes,Yes
Male,Third Year,BSTM,1.00-1.50,BAM,BSTM,BSHM,BSA,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Agree,Friends and/or boyfriend/girlfriend,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,31-50,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Yes,No
Female,Third Year,BSCE,1.51-2.00,STEM,BSCE,BSBA_FM,BSA,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Disagree,Disagree,31-50,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,No,Yes
Male,Second Year,BSCE,1.00-1.50,STEM,BSCE,BSME,BSA,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Agree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Disagree,Agree,Agree,Strongly Agree,31-50,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,No,No
Male,Second Year,BSCpE,1.00-1.50,STEM,BSCE,BSCpE,BSA,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,31-50,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Yes,No
Male,Second Year,BSCS,1.00-1.50,STEM,BSPsy,BSCS,BSA,Agree,Disagree,Agree,Agree,Myself,Disagree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Agree,Strongly Disagree,Agree,31-50,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,No,No
Male,Third Year,BSIT,1.00-1.50,BAM,BSIT,BSBA_FM,BSA,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Disagree,31-50,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,No,No
Female,Second Year,BSCHE,1.00-1.50,BAM,BSN,BSPsy,BSBio,Agree,Agree,Agree,Agree,Myself,Disagree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Agree,Agree,Agree,31-50,Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,No,Yes
Female,Third Year,BSCE,1.51-2.00,STEM,BSCE,BS_Arch,BSBio,Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Disagree,Agree,Agree,Agree,31-50,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,No,No
Male,Third Year,BSCE,1.51-2.00,STEM,BSCE,BSECE,BSBio,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,31-50,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,No,No
Male,Third Year,BSCS,1.00-1.50,STEM,BSCS,BSCpE,BSBio,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Agree,Disagree,Disagree,Agree,Disagree,31-50,Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Yes,Yes
Male,Third Year,BSIT,1.00-1.50,BAM,BSBA_MM,BSIT,BSHM,Agree,Disagree,Agree,Agree,Myself,Strongly Agree,Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,N/A,Disagree,Disagree,Strongly Agree,Agree,31-50,Agree,N/A,Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,No,Yes
Male,Second Year,BSIT,1.00-1.50,STEM,BSN,BSCHE,BSBio,Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Disagree,Agree,Agree,Disagree,31-50,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,No,No
Female,Third Year,BSCE,1.51-2.00,BAM,BSCE,BS_Arch,BSME,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,N/A,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Yes,Yes
Male,Second Year,BSBA_BE,1.51-2.00,BAM,BSA,BSBA_FM,BSBA_BE,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Myself,Disagree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,Agree,Disagree,Disagree,Disagree,Disagree,31-50,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Agree,No,No
Female,Third Year,BSTM,1.00-1.50,BAM,BSTM,BSA,BSBA_BE,Strongly Agree,Agree,Disagree,Disagree,Myself,Disagree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Agree,Yes,No
Female,Second Year,BSA,1.00-1.50,BAM,BSA,BSBA_MM,BSBA_FM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,31-50,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Yes,No
Female,Third Year,BSBA_BE,1.00-1.50,BAM,BSA,BSBA_BE,BSBA_FM,Agree,Disagree,Agree,Disagree,Myself,Agree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Agree,Disagree,Agree,31-50,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,No,Yes
Female,Third Year,BSBA_BE,1.51-2.00,BAM,BSA,BSBA_BE,BSBA_FM,Agree,Disagree,Agree,Agree,Myself,Agree,Strongly Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Disagree,Agree,31-50,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Yes,No
Female,Third Year,BSBA_FM,1.00-1.50,STEM,BS_Arch,BSPsy,BSBA_FM,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,31-50,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Yes,No
Female,Third Year,BSBA_FM,1.00-1.50,BAM,BSA,BSTM,BSBA_FM,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,Agree,Strongly Agree,Strongly Agree,Agree,Agree,31-50,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,No,Yes
Male,Second Year,BS_ENTRE,1.00-1.50,BAM,BSBA_MM,BS_ENTRE,BSBA_FM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Strongly Agree,Agree,Agree,Agree,Agree,31-50,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Yes,No
Male,Second Year,BSCE,2.01-2.50,BAM,BSCE,BSA,BSBA_FM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,31-50,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,No
Male,Second Year,BSCE,2.01-2.50,BAM,BSCE,BSA,BSBA_FM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Agree,Friends and/or boyfriend/girlfriend,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,31-50,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,No
Female,Third Year,BSBA_BE,1.00-1.50,BAM,BSA,BSBA_BE,BSBA_HRM,Agree,Disagree,Agree,Strongly Agree,Myself,Disagree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Agree,Disagree,Disagree,Agree,Agree,31-50,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Yes,No
Female,Second Year,BSIT,1.00-1.50,BAM,BSA,BSIT,BSBA_FM,Agree,Disagree,Strongly Agree,Strongly Agree,Myself,Disagree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Yes,Yes
Female,Second Year,BSIT,1.00-1.50,BAM,BSA,BSIT,BSBA_FM,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Yes,No
Female,Third Year,BSIT,1.51-2.00,TVL,BSA,BSIT,BSBA_FM,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Agree,Agree,Disagree,31-50,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,No,Yes
Female,Second Year,BSCE,1.00-1.50,STEM,BSCE,BS_Arch,BSCHE,Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Disagree,Disagree,Disagree,Strongly Disagree,31-50,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,No,Yes
Female,Third Year,BSBA_FM,1.00-1.50,BAM,BSA,BSBA_FM,BSBA_HRM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,N/A,Agree,Disagree,Agree,Strongly Agree,31-50,Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,Yes
Female,Second Year,BSCE,1.51-2.00,STEM,BSCE,BSECE,BSEE,Agree,N/A,Agree,Agree,Myself,Disagree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Agree,N/A,N/A,Disagree,Agree,31-50,Agree,Agree,N/A,Disagree,Agree,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Yes,No
Female,Second Year,BSBA_HRM,1.00-1.50,TVL,BSTM,BSHM,BSBA_HRM,Strongly Agree,Agree,Agree,Agree,Myself,Disagree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Agree,Agree,Agree,31-50,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,No,Yes
Male,Third Year,BSBA_HRM,1.51-2.00,TVL,BSPsy,BSSW,BSBA_HRM,Agree,Disagree,Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Agree,Disagree,Disagree,Agree,Strongly Disagree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,No,Yes
Female,Second Year,BSHM,1.51-2.00,TVL,BSHM,BSTM,BSBA_HRM,Agree,Agree,Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Agree,Friends and/or boyfriend/girlfriend,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,31-50,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Yes,No
